median_JD,sigmean,sigerr,mean,error,tabbymagmean,tabbymagerr,tabbyrmsmean,ref1mean,ref1err,ref1magmean,ref1magmeanerr,ref1rmsmean,ref2mean,ref2err,ref2magmean,ref2magmeanerr,ref2rmsmean,ref3mean,ref3err,ref3magmean,ref3magmeanerr,ref3rmsmean
2458348.830428241,0.8664917951602092,0.0025882202900907943,0.8669259686130883,0.003086500134101906,0.8669259686130883,0.003086500134101906,0.29996433333333333,0.713578823506181,0.002694918542334014,11.524666666666667,0.030471688655599773,1.5387148866666667,0.8796352075030113,0.0023630786038982775,11.362066666666669,0.02917304692120233,0.8537772666666669,1.5184539391268363,0.004654674434593564,10.986866666666668,0.0277279298765358,2.055818866666667
2458349.737604167,0.8640067168003155,0.0018465454867532068,0.8636979010134319,0.0025731908554539763,0.8636979010134319,0.0025731908554539763,1.7926382,0.7187827780595952,0.0020389878209099857,11.6842,0.011409269414446633,1.8858362733333334,0.8786180611950566,0.0028483197512019606,11.528266666666665,0.011157743414115368,1.8312770666666667,1.511252512766101,0.003485138976823893,11.155066666666668,0.01042981075480066,-0.011428533333333253
2458351.8111921297,0.8676192608567252,0.002449807377646343,0.8666543199864752,0.003473402297177947,0.8666543199864752,0.003473402297177947,1.6651333999999998,0.717583919162562,0.0030671404532239084,11.652333333333333,0.14004676089826296,0.4914289333333335,0.8786948042493106,0.005175099569729759,11.495066666666666,0.13807579009197732,0.3404268000000001,1.5131716644716728,0.009316862532094064,11.121199999999998,0.1393552500420622,1.585679333333333
2458352.6563310185,0.8690422136667955,0.002643245073747702,0.869930614288078,0.00433884540843782,0.869930614288078,0.00433884540843782,2.244150066666667,0.7185659642854204,0.0029060485384845404,11.580066666666665,0.47770813962781355,-0.0005199333333332668,0.8802938273268487,0.0030028078381704845,11.422466666666667,0.4798594834006344,1.2661934,1.5091293854861776,0.004786900503349642,11.0516,0.48014875671132234,2.8412036
2458353.656458333,0.8703903841208103,0.0030242951375340204,0.8690304416365568,0.004634442827993172,0.8690304416365568,0.004634442827993172,2.7020036,0.716666012285523,0.004539356747212305,11.610466666666667,0.04432810567101809,3.0860136,0.8815473743837796,0.0055001411226894914,11.4498,0.041155107303260254,1.3418198666666663,1.5104951966815563,0.01317828982402831,11.079533333333332,0.04122562772053776,3.4975466
2458354.7031828705,0.8699789702867767,0.0016761709333478257,0.8697993870534595,0.0027881965150514322,0.8697993870534595,0.0027881965150514322,2.5808289333333336,0.7186170511085678,0.0026565293939409284,11.439066666666667,0.014374912008012154,0.9403947333333332,0.8802547019519997,0.00262506584047483,11.281399999999998,0.01258002952528897,1.951224466666667,1.5091038833616104,0.005955206224644013,10.910666666666668,0.01284893918170813,1.9237685333333334
2458355.7046875,0.8708063919649602,0.002967407322376942,0.8707904756654122,0.003900579483699435,0.8707904756654122,0.003900579483699435,1.0252725333333332,0.7181538092419562,0.002758124733373917,11.4472,0.01859032006179585,1.0632374666666666,0.8793335922113312,0.0035549702740817735,11.289799999999998,0.019636700333813872,2.353875266666667,1.5112504044949904,0.0067105042336894115,10.917133333333334,0.01946743312254984,0.3202259999999999
2458356.7076157406,0.8740387751166229,0.0031234556797131597,0.8739268405449305,0.004218610278030366,0.8739268405449305,0.004218610278030366,4.054957733333334,0.7212805173726322,0.0056464724328549815,11.768933333333335,0.5942300500487606,1.3479132666666669,0.8835739085981101,0.00849805737973123,11.611866666666666,0.5872593569973594,-0.9542471999999999,1.4998300419432993,0.00864974119531251,11.2474,0.5947026628012164,-0.8292310000000003
2458357.7077314816,0.8701268889621558,0.0014448274827371823,0.8702692803479042,0.002197133102605771,0.8702692803479042,0.002197133102605771,1.7052107999999997,0.7202422471133963,0.003180715740821635,11.457,0.013643418088692405,2.0754187333333336,0.8795556980071897,0.0016122800468607544,11.301799999999998,0.01453665318133039,1.5450419999999998,1.507436410940182,0.006063944737439025,10.931066666666664,0.014204962244967385,1.8138838666666666
2458358.698935185,0.8657359365916252,0.0020691329606438323,0.8662229141419436,0.0027997353850917925,0.8662229141419436,0.0027997353850917925,2.3262112333333334,0.7169756146174718,0.004242351781873818,11.668266666666666,0.04510062822917954,2.6189961999999998,0.8766321529036756,0.004342647866994356,11.51193333333333,0.04532338826488516,2.315616733333333,1.5172520522004693,0.004922792771396374,11.134533333333334,0.04398841838917336,0.5067196
2458359.7056597224,0.8674576815978761,0.001085177973279739,0.8679219692716228,0.002100251626255562,0.8679219692716228,0.002100251626255562,1.0843995333333334,0.7167866614057419,0.002791239711066172,11.478666666666665,0.007761320457119008,1.6120360133333334,0.8794250352595434,0.003146266259374277,11.319866666666666,0.00860121807542122,0.9221047333333332,1.5133900419249666,0.0043480386803622885,10.946733333333334,0.008655854060912203,2.7655372000000003
2458360.6962094908,0.868663612694951,0.0030461551753587367,0.8685141896280125,0.004766983924880877,0.8685141896280125,0.004766983924880877,1.0421955714285713,0.7160412861019596,0.004434633442038556,11.81407142857143,0.5455132324822073,2.2653773357142852,0.8771352988055513,0.0041374581185095695,11.656214285714285,0.5419732009513483,1.902016857142857,1.518089617006477,0.010597978753620226,11.279071428571427,0.5373962102705849,-0.22330871428571428
2458361.6974537037,0.8693082549577238,0.005157433370017129,0.867398131202212,0.009018187755126798,0.867398131202212,0.009018187755126798,1.496699,0.7125709878956299,0.011310458086990473,11.754799999999998,0.6422073763868758,1.7896360666666666,0.8787011491975677,0.0059679974029111255,11.591666666666667,0.6362338593705334,1.85681598,1.5217987844999603,0.025707306025415093,11.214533333333332,0.630857564483986,1.7786521333333332
2458362.6947916667,0.8671116612111275,0.0016354076176776755,0.8676692589629227,0.002708927254110698,0.8676692589629227,0.002708927254110698,1.5079542666666663,0.7162604389377079,0.003910806417467287,11.587133333333332,0.30533889057117825,-0.5843829933333332,0.8783076666507063,0.005036396476382218,11.4288,0.3112280284843988,2.4410446,1.5159525573549881,0.005955156655844418,11.053333333333335,0.3066996359089243,1.0424937333333333
2458364.716423611,0.8687828427338625,0.0012642405804635154,0.8688165299071372,0.0016091793703950118,0.8688165299071372,0.0016091793703950118,1.4218044666666667,0.716498783290654,0.00195484613860513,11.5026,0.014029560628493374,1.5186996,0.879269838468436,0.0018443144138356178,11.343533333333333,0.013394384039944784,1.8237073733333333,1.5140984792533136,0.004814450272041,10.9698,0.012667167909881866,1.8830868
